Console,GameName,Score
PC,Hypnospace Outlaw Review - Weird World Web,8
"PC, NS",Baba is You Review - Game-Changer,7
PC,Ethereal Review - Stay In Your Lane,7
PS4,Left Alive Review - No Will To Survive,3
PC,Objects In Space Review - Adrift,8
XONE,Devil May Cry 5 Review - From Zero To Nero,9
PS4,ToeJam & Earl: Back In The Groove Review - The Funk-Soul Brothers,5
NS,Assault Android Cactus+ Review - Robots Rock,9
"PC, NS",Ape Out Review - Guerrilla Gorilla,7
3DS,Kirby's Extra Epic Yarn Review - All Stitched Up,9
PS4,Dead Or Alive 6 Review - Combat Ready,7
"PC, XONE, PS4",The Occupation Review - On The Clock,8
"XONE, PC, PS4",Far Cry: New Dawn Review - Duct Tape Apocalypse,6
PC,Civilization 6: Gathering Storm Review - Weather The Storm,9
PC,Eastshade Review - A Brush With Nature,9
PS4,Trials Rising Review - It's A Gas,7
PC,Devotion Review - House Of Horrors,9
"PC, XONE, PS4",Anthem Review - Two Halves,6
NS,Tetris 99 Review - Embrace The Chaos,8
XONE,Crackdown 3 Review - Man Of Steel,5
"PC, XONE, PS4",Jump Force Review - Shonen Through And Through,7
3DS,Yo-kai Watch 3 Review - Tokyo To Texas,6
"PS4, PC",Yakuza Kiwami Review - Back In Action,8
"PS4, PC",God Eater 3 Review - Aragami Hunter,6
PC,Astroneer Review - New Frontiers,6
NS,Dragon Marked for Death Review - Dates With Death,7
PC,Sunless Skies Review - British Steam Power,8
NS,Wargroove Review - The Doggos Of War,8
3DS,Etrian Odyssey Nexus Review - Where All Paths Cross,8
PC,Jon Shafer's At The Gates Review - Fertile Soil,7
"PS4, PC",The Hong Kong Massacre Review - I Know Gun-Fu,7
"PC, PS4, NS",Downwell Review - Polished Boots,8
PC,Mage's Initiation: Reign Of The Elements Review - VGA Heyday,6
"XONE, PS4","Kingdom Hearts 3 Review - Clear Eyes, Full Hearts",8
"PC, NS",Pikuniku Review - Delicious Morsel,8
XONE,Genesis Alpha One Review - Drifting Without Direction,4
"XONE, PC, PS4",Resident Evil 2 Review - RE-vived Nightmares,9
"PS4, XONE, PC",Life Is Strange 2: Episode 2 Review - With Great Power,8
3DS,Mario & Luigi: Bowser's Inside Story + Bowser Jr.'s Journey Review,8
PS4,The Walking Dead: The Final Season Episode 3 Review,8
PS4,YIIK: A Postmodern RPG Review - A Bit More Hipster,5
NS,Double Cross Review - Combat Woes,6
PS4,Vane Review - In Vain,5
PC,The Eternal Castle Remastered Review - Vivid Flashbacks,8
NS,"New Super Mario Bros. U Deluxe Review - It's-A-Me, Again!",7
"XONE, PC",Below Review - Deep Down,6
NS,"Bury Me, My Love Review - Trials And Tribulations",8
NS,Battle Princess Madelyn Review - Halfway There,6
NS,Super Smash Bros. Ultimate Review - Me And You And Everyone We Know,9
PC,Gris Review - Seeing In Color,9
"PC, XONE, PS4, NS",Monster Boy And The Cursed Kingdom Review - Fit For A King,8
"PC, PS4",Thronebreaker: The Witcher Tales Review - Queen Of Hearts,9
"PC, PS4, XONE, NS",Desert Child Review - Burning Fuel,5
PS4,Earth Defense Force 5 Review - Another Bug Hunt,8
"XONE, PC",Ashen Review - Relationship Souls,9
PC,Artifact Review - Play Your Cards Right,8
PC,Just Cause 4 Review - Mildly Wild Ride,6
PS4,Big Bash Boom Review: Stiff Wickets,5
PC,Cosmic Top Secret Review - Declassified,7
PS4,Darksiders 3 Review - Soils-Like,4
PS4,Persona 5: Dancing In Starlight Review - The Shujin Shuffle,8
PS4,Persona 3: Dancing In Moonlight Review - A Spotlight In The Dark Hour,9
PS4,Beat Saber Review - Bass-Boosted,8
"PC, PS4, NS",Nidhogg 2 Review - En Garde,7
"PS4, PC, XONE",Hitman 2 Review - A Boy And His Briefcase,8
"PC, PS4, XONE",Fallout 76 Review - No Humans Allowed,4
PC,Underworld Ascendant Review: Going Under,2
